time, L
0,0.69218
0.0002,1.2335
0.0004,1.4475
0.0006,1.4322
0.0008,1.4781
0.001,1.4934
0.0012,1.4934
0.0014,1.5087
0.0016,1.5392
0.0018,1.5087
0.002,1.4934
0.0022,1.4934
0.0024,1.5087
0.0026,1.5087
0.0028,1.4934
0.003,1.4781
0.0032,1.524
0.0034,1.524
0.0036,1.5087
0.0038,1.4781
0.004,1.5392
0.0042,1.5087
0.0044,1.4934
0.0046,1.4934
0.0048,1.4934
0.005,1.4781
0.0052,1.4934
0.0054,1.524
0.0056,1.5087
0.0058,1.4781
0.006,1.524
0.0062,1.524
0.0064,1.4934
0.0066,1.5087
0.0068,1.524
0.007,1.4934
0.0072,1.5087
0.0074,1.524
0.0076,1.4934
0.0078,1.4934
0.008,1.5087
0.0082,1.4934
0.0084,1.4781
0.0086,1.5545
0.0088,1.4628
0.009,1.4781
0.0092,1.5087
0.0094,1.5087
0.0096,1.5392
0.0098,1.4781
0.01,1.4934
0.0102,1.4781
0.0104,1.524
0.0106,1.4475
0.0108,1.4628
0.011,1.4628
0.0112,1.4781
0.0114,1.5087
0.0116,1.524
0.0118,1.4934
0.012,1.4781
0.0122,1.5087
0.0124,1.5087
0.0126,1.5087
0.0128,1.5545
0.013,1.4934
0.0132,1.524
0.0134,1.4934
0.0136,1.524
0.0138,1.4934
0.014,1.4934
0.0142,1.5392
0.0144,1.524
0.0146,1.4934
0.0148,1.4781
0.015,0.24959
0.0152,0.082
0.0154,0.49455
0.0156,1.1723
0.0158,1.4169
0.016,1.4934
0.0162,1.4781
0.0164,1.4781
0.0166,1.4781
0.0168,1.5545
0.017,1.4934
0.0172,1.524
0.0174,1.5545
0.0176,1.524
0.0178,1.5545
0.018,1.5392
0.0182,1.5087
0.0184,1.5087
0.0186,1.5545
0.0188,1.524
0.019,1.5851
0.0192,1.524
0.0194,1.5087
0.0196,1.524
0.0198,1.5392
0.02,1.524
0.0202,1.5392
0.0204,1.524
0.0206,1.524
0.0208,1.524
0.021,1.5392
0.0212,1.5392
0.0214,1.524
0.0216,1.5392
0.0218,1.5392
0.022,1.5392
0.0222,1.4781
0.0224,1.4781
0.0226,1.5392
0.0228,1.5087
0.023,1.524
0.0232,1.3711
0.0234,0.096483
0.0236,0.15772
0.0238,0.73691
0.024,1.3405
0.0242,1.5392
0.0244,1.5698
0.0246,1.5545
0.0248,1.6004
0.025,1.5545
0.0252,1.5698
0.0254,1.5851
0.0256,1.5851
0.0258,1.5851
0.026,1.5545
0.0262,1.5698
0.0264,1.524
0.0266,1.5851
0.0268,1.5545
0.027,1.5545
0.0272,1.5698
0.0274,1.5698
0.0276,1.524
0.0278,1.5545
0.028,1.6004
0.0282,1.5851
0.0284,1.5698
0.0286,1.5545
0.0288,1.6157
0.029,1.5392
0.0292,1.5392
0.0294,1.6157
0.0296,1.5698
0.0298,1.5392
0.03,1.5698
0.0302,1.524
0.0304,1.5698
0.0306,1.5698
0.0308,1.524
0.031,1.5545
0.0312,1.5545
0.0314,1.5545
0.0316,0.90091
0.0318,0.082
0.032,0.29552
0.0322,1.05
0.0324,1.4016
0.0326,1.5087
0.0328,1.5087
